bookingID,customerID,hotelID,roomNumber,bookingDate
177,7,17,7,12/19/2017
178,49,18,2,11/11/2012
179,6,19,6,9/21/2016
180,67,20,7,1/5/2010
181,37,1,4,9/14/2004
182,96,2,1,11/16/2015
183,10,3,8,1/22/2017
184,23,4,3,8/17/2013
185,37,5,5,1/6/2007
186,14,6,4,10/8/2013
187,84,7,4,2/13/2014
188,46,8,4,8/20/2017
189,11,9,7,7/12/2015
190,6,10,2,6/8/2010
191,47,11,9,11/1/2018
192,99,12,3,5/14/2014
193,40,13,4,1/20/2002
194,33,14,3,5/29/2012
195,72,15,7,10/8/2004
196,95,16,8,2/1/2012
197,51,17,5,4/12/2005
198,94,18,3,9/22/2017
199,28,19,9,12/21/2004
200,49,20,4,7/7/2012
201,20,1,8,4/11/2011
202,26,2,8,12/30/2017
203,81,3,1,5/17/2013
204,54,4,2,12/28/2016
205,63,5,4,5/1/2008
206,6,6,8,7/5/2017
207,13,7,1,8/28/2000
208,93,8,8,3/16/2012
209,54,9,5,11/30/2016
210,21,10,6,1/24/2011
211,75,11,1,6/23/2017
212,63,12,7,6/18/2016
213,68,13,4,3/23/2017
214,93,14,6,12/27/2011
215,80,15,9,10/26/2018
216,22,16,2,9/13/2018
217,19,17,5,11/9/2003
218,95,18,6,8/6/2016
219,35,19,7,1/25/2010
220,52,20,3,8/17/2016
221,41,1,6,10/20/2007
222,93,2,3,4/5/2017
223,4,3,4,3/9/2003
224,25,4,5,12/6/2011
225,53,5,7,12/14/2012
226,71,6,1,5/30/2011
227,34,7,8,9/4/2014
228,56,8,5,4/14/2012
229,91,9,9,9/12/2011
230,31,10,5,11/17/2017
231,53,11,6,5/8/2000
232,84,12,8,3/21/2013
233,94,13,7,7/22/2004
234,3,14,6,9/13/2013
235,92,15,2,1/13/2007
236,77,16,5,9/2/2014
237,48,17,9,7/2/2002
238,74,18,6,5/12/2012
239,73,19,3,1/9/2007
240,94,20,6,1/29/2014
241,66,1,4,1/28/2015
242,38,2,7,3/4/2017
243,70,3,8,4/23/2007
244,10,4,5,3/7/2010
245,76,5,9,10/16/2012
246,44,6,1,4/20/2015
247,5,7,8,11/11/2006
248,27,8,2,8/16/2010
249,78,9,7,7/21/2010
250,84,10,1,9/27/2015
251,9,11,4,5/7/2010
252,65,12,5,1/21/2015
253,12,13,7,3/27/2001
254,92,14,8,5/11/2018
255,20,15,2,10/10/2009
256,29,16,6,12/9/2017
257,67,17,6,3/2/2006
258,86,18,7,3/26/2012
259,3,19,2,1/12/2016
260,59,20,2,1/5/2014
261,4,1,8,11/17/2000
262,29,2,3,10/17/2016
263,40,3,5,3/25/2002
264,95,4,5,2/14/2013
265,5,5,6,11/29/2001
266,84,6,2,2/16/2014
267,58,7,7,10/1/2016
268,75,8,6,5/28/2017
269,1,9,8,9/26/2014
270,75,10,2,10/20/2012
271,18,11,2,5/14/2007
272,66,12,1,9/3/2012
273,4,13,9,11/25/2018
274,28,14,8,3/3/2017
275,85,15,5,1/5/2015
276,37,16,2,8/3/2013
277,56,17,4,12/9/2003
278,15,18,8,9/19/2013
279,76,19,3,6/29/2000
280,42,20,5,4/13/2012
281,99,1,2,8/9/2007
282,31,2,5,10/18/2015
283,93,3,1,2/11/2006
284,10,4,2,7/4/2013
285,94,5,8,10/6/2011
286,11,6,5,2/22/2018
287,75,7,8,9/26/2015
288,13,8,5,3/30/2017
289,29,9,3,8/25/2010
290,40,10,5,4/17/2015
291,85,11,2,2/23/2011
292,40,12,3,8/18/2016
293,62,13,2,3/21/2017
294,12,14,7,10/10/2011
295,44,15,9,4/24/2018
296,18,16,7,9/9/2012
297,58,17,6,9/17/2008
298,40,18,1,6/14/2017
299,44,19,8,12/28/2000
300,65,20,5,12/1/2010
301,25,1,5,4/28/2017
302,76,2,5,12/30/2012
303,32,3,9,5/18/2009
304,31,4,3,12/21/2012
305,31,5,1,10/2/2005
306,22,6,6,5/14/2014
307,71,7,3,12/24/2012
308,52,8,4,1/6/2014
309,94,9,6,8/22/2013
310,69,10,4,8/17/2015
311,61,11,4,12/10/2003
312,97,12,7,4/11/2018
313,60,13,3,12/11/2010
314,20,14,4,10/29/2017
315,84,15,8,1/15/2011
316,96,16,9,12/15/2010
317,66,17,7,1/5/2006
318,55,18,8,3/29/2017
319,91,19,3,1/12/2017
320,12,20,1,11/12/2017
321,39,1,6,7/17/2000
322,2,2,6,4/16/2015
323,48,3,3,8/19/2018
324,54,4,5,7/23/2016
325,32,5,6,9/25/2001
326,87,6,3,11/3/2018
327,47,7,3,3/15/2006
328,85,8,1,6/10/2013
329,77,9,5,10/2/2015
330,96,10,3,9/30/2010
331,73,11,9,3/3/2005
332,42,12,8,6/13/2016
333,92,13,9,9/25/2007
334,28,14,5,6/24/2018
335,67,15,9,2/15/2017
336,87,16,5,5/18/2016
337,59,17,4,7/18/2008
338,88,18,5,9/12/2017
339,78,19,1,5/8/2018
340,67,20,9,8/30/2011
341,64,1,1,9/9/2006
342,94,2,8,4/9/2014
343,85,3,4,12/9/2006
344,89,4,1,3/8/2018
345,89,5,3,11/11/2008
346,37,6,8,4/11/2012
347,100,7,5,10/1/2001
348,93,8,2,9/18/2015
349,90,9,7,5/23/2002
350,11,10,7,7/11/2014
351,48,11,2,4/16/2008
352,36,12,2,10/8/2016
353,51,13,8,3/4/2000
354,73,14,8,6/29/2016
355,41,15,2,8/5/2015
356,37,16,2,10/25/2013
357,35,17,3,10/30/2017
358,89,18,9,11/18/2017
359,11,19,3,2/4/2003
360,28,20,7,12/24/2016
361,30,1,2,5/28/2000
362,73,2,6,9/7/2013
363,6,3,3,11/27/2005
364,48,4,7,4/16/2011
365,94,5,4,6/3/2013
366,57,6,2,2/12/2018
367,12,7,7,11/3/2007
368,47,8,9,4/13/2018
369,35,9,6,7/23/2012
370,15,10,4,1/2/2012
371,16,11,7,9/26/2007
372,83,12,2,12/16/2010
373,50,13,7,5/24/2002
374,70,14,2,7/30/2010
375,99,15,7,12/1/2000
376,10,16,5,7/13/2016
377,3,17,9,10/19/2011
378,31,18,3,12/9/2017
379,76,19,8,5/1/2017
380,64,20,8,2/10/2013
381,2,1,8,7/19/2009
382,72,2,4,7/9/2014
383,20,3,8,6/11/2011
384,8,4,6,12/24/2011
385,65,5,4,8/10/2013
386,66,6,6,9/7/2013
387,67,7,4,1/22/2015
388,35,8,1,4/18/2013
389,12,9,6,3/5/2011
390,64,10,2,1/22/2012
391,33,11,9,11/20/2011
392,82,12,7,5/26/2011
393,48,13,1,4/30/2003
394,89,14,2,4/6/2018
395,24,15,2,2/20/2011
396,65,16,3,8/23/2016
397,71,17,7,3/26/2012
398,20,18,8,2/18/2014
399,91,19,2,12/25/2016
400,36,20,4,4/13/2013
401,47,1,8,11/6/2000
402,6,2,3,1/28/2018
403,48,3,7,7/4/2008
404,95,4,5,10/15/2014
405,78,5,6,5/10/2011
406,82,6,6,6/15/2010
407,13,7,7,4/26/2001
408,19,8,3,7/3/2013
409,1,9,7,10/16/2011
410,42,10,5,1/5/2015
411,23,11,5,4/5/2016
412,21,12,8,8/6/2011
413,26,13,5,9/26/2016
414,93,14,3,9/25/2017
415,35,15,7,12/25/2006
416,83,16,4,8/12/2016
417,37,17,3,5/23/2014
418,12,18,5,1/9/2011
419,28,19,2,1/23/2007
420,40,20,5,3/11/2014
421,4,1,1,12/4/2010
422,27,2,2,3/14/2015
423,23,3,7,6/15/2013
424,24,4,2,6/24/2011
425,7,5,9,6/6/2011
426,28,6,1,3/26/2013
427,75,7,4,10/27/2009
428,4,8,3,7/26/2012
429,14,9,5,3/3/2003
430,3,10,1,11/18/2016
431,66,11,7,3/10/2017
432,50,12,7,12/18/2012
433,41,13,7,3/27/2018
434,72,14,5,3/17/2017
435,10,15,2,2/9/2009
436,25,16,4,8/4/2014
437,6,17,4,7/18/2014
438,60,18,2,9/4/2017
439,66,19,4,9/21/2017
440,76,20,2,5/16/2013
441,39,1,8,10/25/2000
442,46,2,1,1/26/2017
443,31,3,9,8/27/2009
444,53,4,9,4/20/2017
445,3,5,8,3/7/2011
446,53,6,5,6/19/2015
447,30,7,4,5/30/2004
448,77,8,1,7/10/2016
449,22,9,3,3/27/2017
450,49,10,6,11/20/2011
451,5,11,5,5/28/2010
452,1,12,3,10/10/2018
453,36,13,1,9/8/2009
454,64,14,2,12/12/2016
455,47,15,8,6/24/2018
456,14,16,4,10/9/2010
457,84,17,4,8/8/2003
458,11,18,5,6/4/2016
459,59,19,9,1/8/2016
460,91,20,6,11/14/2015
461,83,1,8,4/2/2011
462,56,2,9,4/11/2010
463,40,3,5,11/5/2001
464,86,4,3,1/13/2013
465,8,5,1,4/15/2005
466,79,6,9,11/9/2017
467,99,7,7,5/12/2003
468,9,8,8,8/10/2016
469,48,9,1,10/27/2004
470,27,10,3,5/12/2016
471,54,11,6,12/5/2001
472,61,12,8,5/24/2016
473,95,13,5,9/13/2005
474,39,14,9,2/4/2017
475,33,15,7,12/21/2000
476,87,16,8,11/13/2012
477,17,17,4,1/12/2011
478,27,18,3,5/30/2010
479,90,19,2,4/8/2008
480,43,1,4,1/4/2014
481,89,2,6,5/17/2009
482,26,3,8,9/4/2012
483,21,4,2,2/11/2014
484,28,5,7,6/1/2018
485,34,6,7,2/26/2017
486,19,7,7,12/15/2013
487,6,8,4,1/2/2018
488,89,9,9,2/6/2015
489,71,10,5,9/17/2007
490,79,11,5,7/8/2010
491,13,12,2,4/22/2005
492,75,13,6,9/29/2018
493,39,14,6,8/17/2004
494,28,15,1,10/9/2015
495,42,16,5,6/30/2003
496,93,17,3,1/8/2018
497,63,18,5,9/21/2018
498,32,19,6,1/12/2017
499,2,20,8,10/26/2001
500,69,1,1,11/26/2002
